Protein,Label
P98153,Negative
P98155,Negative
P98160,Negative
P98161,Negative
P98164,Negative
P98172,Negative
P98173,Negative
P99999,Negative
Q00169,Negative
Q00534,Negative
Q00610,Negative
Q00688,Negative
Q00839,Negative
Q00973,Negative
Q01082,Negative
Q01105,Negative
Q01130,Negative
Q01151,Negative
Q01459,Negative
Q01469,Negative
Q01518,Negative
Q01546,Negative
Q01973,Negative
Q01974,Negative
Q01995,Negative
Q02086,Negative
Q02223,Negative
Q02241,Negative
Q02246,Negative
Q02413,Negative
Q02487,Negative
Q02641,Negative
Q02742,Negative
Q02747,Negative
Q02763,Negative
Q02779,Negative
Q02790,Negative
Q02809,Negative
Q02818,Negative
Q02878,Negative
Q02952,Negative
Q02985,Negative
Q03154,Negative
Q03167,Negative
Q03405,Negative
Q03468,Negative
Q03591,Negative
Q03692,Negative
Q04446,Negative
Q04695,Negative
Q04721,Negative
Q04756,Negative
Q04760,Negative
Q04771,Negative
Q04828,Negative
Q04917,Negative
Q05193,Negative
Q05519,Negative
Q05682,Negative
Q05707,Negative
Q05996,Negative
Q06033,Negative
Q06124,Negative
Q06187,Negative
Q06323,Negative
Q06418,Negative
Q06481,Negative
Q06520,Negative
Q06828,Negative
Q06830,Negative
Q07075,Negative
Q07092,Negative
Q07507,Negative
Q07654,Negative
Q07666,Negative
Q07699,Negative
Q07954,Negative
Q08174,Negative
Q08211,Negative
Q08334,Negative
Q08345,Negative
Q08380,Negative
Q08397,Negative
Q08431,Negative
Q08554,Negative
Q08629,Negative
Q08722,Negative
Q08830,Negative
Q08AD1,Negative
Q08AN1,Negative
Q08ET2,Negative
Q08J23,Negative
Q09028,Negative
Q09161,Negative
Q09327,Negative
Q09328,Negative
Q09666,Negative
Q0P6D2,Negative
Q10469,Negative
Q10471,Negative
Q10472,Negative
Q10567,Negative
Q10588,Negative
Q10589,Negative
Q11206,Negative
Q12765,Negative
Q12769,Negative
Q12778,Negative
Q12789,Negative
Q12791,Negative
Q12794,Negative
Q12797,Negative
Q12805,Negative
Q12841,Negative
Q12849,Negative
Q12860,Negative
Q12866,Negative
Q12873;Q14839;Q8TDI0,Negative
Q12874,Negative
Q12884,Negative
Q12904,Negative
Q12907,Negative
Q12931,Negative
Q12959;Q15700,Negative
Q12972,Negative
Q12982,Negative
Q12983,Negative
Q13018,Negative
Q13057,Negative
Q13085,Negative
Q13087,Negative
Q13093,Negative
Q13103,Negative
Q13113,Negative
Q13145,Negative
Q13162,Negative
Q13201,Negative
Q13214,Negative
Q13217,Negative
Q13228,Negative
Q13231,Negative
Q13263,Negative
Q13275,Negative
Q13283,Negative
Q13308,Negative
Q13310,Negative
Q13332,Negative
Q13347,Negative
Q13370,Negative
Q13404,Negative
Q13421,Negative
Q13433,Negative
Q13438,Negative
Q13443,Negative
Q13444,Negative
